Geneid	Length
ENSMMUG00000045377	293
ENSMMUG00000004901	3610
ENSMMUG00000012961	5002
ENSMMUG00000056482	1275
ENSMMUG00000021078	2746
ENSMMUG00000017586	4016
ENSMMUG00000004042	5233
ENSMMUG00000049099	300
ENSMMUG00000049840	4210
ENSMMUG00000040609	1839
ENSMMUG00000021079	2377
ENSMMUG00000060500	2706
ENSMMUG00000052448	1157
ENSMMUG00000048805	1624
ENSMMUG00000040063	681
ENSMMUG00000037731	642
ENSMMUG00000003775	4225
ENSMMUG00000011342	2070
ENSMMUG00000060167	2725
ENSMMUG00000057065	104
ENSMMUG00000005008	3263
ENSMMUG00000036194	118
ENSMMUG00000001551	2905
ENSMMUG00000064461	6105
ENSMMUG00000059021	1675
ENSMMUG00000016838	11249
ENSMMUG00000016096	3674
ENSMMUG00000051354	813
ENSMMUG00000023884	119
ENSMMUG00000022995	3242
ENSMMUG00000064770	1937
ENSMMUG00000037265	61
ENSMMUG00000001549	3026
ENSMMUG00000021080	3319
ENSMMUG00000049839	1363
ENSMMUG00000011340	1245
ENSMMUG00000004001	3441
ENSMMUG00000032897	67
ENSMMUG00000005010	1266
ENSMMUG00000011338	3136
ENSMMUG00000005007	2363
ENSMMUG00000058426	1227
ENSMMUG00000011335	3150
ENSMMUG00000001565	12771
ENSMMUG00000052160	1563
ENSMMUG00000018444	455
ENSMMUG00000005005	2669
ENSMMUG00000064596	3378
ENSMMUG00000022306	1291
ENSMMUG00000008922	1152
ENSMMUG00000000065	3992
ENSMMUG00000006685	672
ENSMMUG00000012126	1338
ENSMMUG00000053632	3835
ENSMMUG00000039344	954
ENSMMUG00000013039	3604
ENSMMUG00000052340	147
ENSMMUG00000009983	3517
ENSMMUG00000013427	996
ENSMMUG00000050121	1446
ENSMMUG00000059749	3354
ENSMMUG00000043311	306
ENSMMUG00000013428	1451
ENSMMUG00000050034	107
ENSMMUG00000058438	783
ENSMMUG00000060122	102
ENSMMUG00000053626	3758
ENSMMUG00000016206	5646
ENSMMUG00000022993	5397
ENSMMUG00000035170	106
ENSMMUG00000050086	2157
ENSMMUG00000013495	3346
ENSMMUG00000060384	1194
ENSMMUG00000042510	11032
ENSMMUG00000051094	148
ENSMMUG00000001571	2593
ENSMMUG00000004564	5332
ENSMMUG00000005002	5710
ENSMMUG00000001300	3990
ENSMMUG00000051786	2045
ENSMMUG00000015233	6572
ENSMMUG00000022992	1894
ENSMMUG00000024417	99
ENSMMUG00000051176	2105
ENSMMUG00000013044	3064
ENSMMUG00000045518	287
ENSMMUG00000057125	101
ENSMMUG00000039212	1917
ENSMMUG00000012112	3085
ENSMMUG00000054686	1179
ENSMMUG00000058484	3604
ENSMMUG00000001297	5574
ENSMMUG00000006904	3254
ENSMMUG00000060682	107
ENSMMUG00000000545	3900
ENSMMUG00000002696	5553
ENSMMUG00000010408	2267
ENSMMUG00000058667	104
ENSMMUG00000054881	2232
ENSMMUG00000008251	534
ENSMMUG00000034906	98
ENSMMUG00000005092	6374
ENSMMUG00000012411	796
ENSMMUG00000060152	957
ENSMMUG00000058388	1419
ENSMMUG00000049388	5933
ENSMMUG00000056659	102
ENSMMUG00000016579	2935
ENSMMUG00000000546	4393
ENSMMUG00000006651	3320
ENSMMUG00000019487	2433
ENSMMUG00000001216	1976
ENSMMUG00000019057	5456
ENSMMUG00000055514	141
ENSMMUG00000016281	3060
ENSMMUG00000060692	148
ENSMMUG00000058785	147
ENSMMUG00000054699	4497
ENSMMUG00000059208	2946
ENSMMUG00000058670	2108
ENSMMUG00000019482	7877
ENSMMUG00000042475	1487
ENSMMUG00000019056	2278
ENSMMUG00000053567	540
ENSMMUG00000010406	1928
ENSMMUG00000015723	6838
ENSMMUG00000054444	148
ENSMMUG00000062087	1203
ENSMMUG00000051680	855
ENSMMUG00000007706	3243
ENSMMUG00000016580	3983
ENSMMUG00000018128	2058
ENSMMUG00000017849	4266
ENSMMUG00000002200	3830
ENSMMUG00000003582	3550
ENSMMUG00000004488	2826
ENSMMUG00000060496	2738
ENSMMUG00000019912	6059
ENSMMUG00000044696	549
ENSMMUG00000052595	107
ENSMMUG00000024094	100
ENSMMUG00000004516	303
ENSMMUG00000052908	2734
ENSMMUG00000007109	5416
ENSMMUG00000004492	1770
ENSMMUG00000059612	1410
ENSMMUG00000004512	261
ENSMMUG00000005090	1122
ENSMMUG00000049726	917
ENSMMUG00000016581	1989
ENSMMUG00000002802	1059
ENSMMUG00000004648	5287
ENSMMUG00000032244	2367
ENSMMUG00000045167	129
ENSMMUG00000027793	137
ENSMMUG00000016582	5651
ENSMMUG00000053454	3393
ENSMMUG00000004490	6606
ENSMMUG00000021933	2740
ENSMMUG00000057616	6357
ENSMMUG00000035614	140
ENSMMUG00000004520	2324
ENSMMUG00000054630	1648
ENSMMUG00000018163	2141
ENSMMUG00000004241	4994
ENSMMUG00000013875	2126
ENSMMUG00000021312	5573
ENSMMUG00000057417	149
ENSMMUG00000025885	101
ENSMMUG00000060051	5855
ENSMMUG00000050766	2795
ENSMMUG00000059701	954
ENSMMUG00000064906	148
ENSMMUG00000031821	1883
ENSMMUG00000054198	3013
ENSMMUG00000018450	939
ENSMMUG00000007046	2860
ENSMMUG00000050231	1032
ENSMMUG00000061549	1002
ENSMMUG00000004243	4181
ENSMMUG00000056001	948
ENSMMUG00000000733	969
ENSMMUG00000064552	479
ENSMMUG00000053550	736
ENSMMUG00000060541	1983
ENSMMUG00000058742	1469
ENSMMUG00000050246	2244
ENSMMUG00000013866	6027
ENSMMUG00000053235	2306
ENSMMUG00000054475	6006
ENSMMUG00000016583	3075
ENSMMUG00000059669	2892
ENSMMUG00000000730	7978
ENSMMUG00000003987	4233
ENSMMUG00000004240	3813
ENSMMUG00000009987	9652
ENSMMUG00000061243	148
ENSMMUG00000061884	608
ENSMMUG00000006164	2549
ENSMMUG00000052919	2214
ENSMMUG00000046410	295
ENSMMUG00000051850	1598
ENSMMUG00000059802	2443
ENSMMUG00000023070	2562
ENSMMUG00000000931	5952
ENSMMUG00000016279	1596
ENSMMUG00000010081	3379
ENSMMUG00000000801	3134
ENSMMUG00000008828	3103
ENSMMUG00000059157	1610
ENSMMUG00000044973	307
ENSMMUG00000059275	524
ENSMMUG00000059773	1647
ENSMMUG00000016837	6637
ENSMMUG00000050642	1268
ENSMMUG00000039365	4180
ENSMMUG00000032868	103
ENSMMUG00000063298	361
ENSMMUG00000013862	3886
ENSMMUG00000058977	3316
ENSMMUG00000014674	2108
ENSMMUG00000056990	1561
ENSMMUG00000050419	2514
ENSMMUG00000054837	106
ENSMMUG00000054700	1790
ENSMMUG00000063414	1397
ENSMMUG00000058023	283
ENSMMUG00000052426	1343
ENSMMUG00000062837	889
ENSMMUG00000060555	1280
ENSMMUG00000052441	103
ENSMMUG00000050865	1110
ENSMMUG00000000063	5813
ENSMMUG00000017040	7021
ENSMMUG00000003486	1464
ENSMMUG00000009282	2820
ENSMMUG00000059086	1097
ENSMMUG00000022630	4881
ENSMMUG00000013380	3054
ENSMMUG00000036503	143
ENSMMUG00000062021	3209
ENSMMUG00000063647	411
ENSMMUG00000049590	1332
ENSMMUG00000007952	3058
ENSMMUG00000059646	148
ENSMMUG00000052479	3579
ENSMMUG00000023214	5373
ENSMMUG00000051344	107
ENSMMUG00000060705	578
ENSMMUG00000021441	4736
ENSMMUG00000062397	1598
ENSMMUG00000050717	942
ENSMMUG00000017421	3958
ENSMMUG00000054507	972
ENSMMUG00000007558	2546
ENSMMUG00000022641	8056
ENSMMUG00000032292	1902
ENSMMUG00000000725	954
ENSMMUG00000056051	5408
ENSMMUG00000000724	978
ENSMMUG00000058261	699
ENSMMUG00000054321	1039
ENSMMUG00000036792	146
ENSMMUG00000004509	1005
ENSMMUG00000004508	933
ENSMMUG00000022629	2814
ENSMMUG00000000145	4017
ENSMMUG00000017674	2931
ENSMMUG00000003168	939
ENSMMUG00000010030	3030
ENSMMUG00000019444	945
ENSMMUG00000053824	885
ENSMMUG00000022631	2396
ENSMMUG00000053076	148
ENSMMUG00000023216	8414
ENSMMUG00000018080	3726
ENSMMUG00000016784	1508
ENSMMUG00000052320	148
ENSMMUG00000049296	2288
ENSMMUG00000062298	1422
ENSMMUG00000030888	888
ENSMMUG00000022632	1093
ENSMMUG00000019727	1748
ENSMMUG00000051252	116
ENSMMUG00000058407	1443
ENSMMUG00000022888	4794
ENSMMUG00000019519	990
ENSMMUG00000001973	5538
ENSMMUG00000054892	1425
ENSMMUG00000032139	2183
ENSMMUG00000058440	1434
ENSMMUG00000019518	6009
ENSMMUG00000002010	3388
ENSMMUG00000036486	135
ENSMMUG00000056499	2577
ENSMMUG00000025902	121
ENSMMUG00000056227	1425
ENSMMUG00000016783	3798
ENSMMUG00000057159	548
ENSMMUG00000055233	1425
ENSMMUG00000055767	3224
ENSMMUG00000022643	5948
ENSMMUG00000005069	1757
ENSMMUG00000062660	876
ENSMMUG00000018556	1488
ENSMMUG00000059053	5819
ENSMMUG00000060641	3234
ENSMMUG00000059172	1104
ENSMMUG00000064635	957
ENSMMUG00000001974	5194
ENSMMUG00000065201	2010
ENSMMUG00000054309	1431
ENSMMUG00000063517	3828
ENSMMUG00000059937	4567
ENSMMUG00000017375	2906
ENSMMUG00000022645	814
ENSMMUG00000057550	705
ENSMMUG00000056436	1452
ENSMMUG00000002009	1514
ENSMMUG00000010626	3180
ENSMMUG00000021870	2158
ENSMMUG00000055140	148
ENSMMUG00000060871	555
ENSMMUG00000056766	1736
ENSMMUG00000014205	2329
ENSMMUG00000049931	148
ENSMMUG00000055126	1648
ENSMMUG00000056383	2869
ENSMMUG00000042038	3145
ENSMMUG00000057998	98
ENSMMUG00000063427	1259
ENSMMUG00000057874	1224
ENSMMUG00000002007	1719
ENSMMUG00000020389	6830
ENSMMUG00000011137	1224
ENSMMUG00000058113	1274
ENSMMUG00000045769	2820
ENSMMUG00000063690	1445
ENSMMUG00000022647	5471
ENSMMUG00000014230	4456
ENSMMUG00000005681	2178
ENSMMUG00000064337	5203
ENSMMUG00000064096	1180
ENSMMUG00000035875	98
ENSMMUG00000059249	147
ENSMMUG00000054087	3194
ENSMMUG00000023146	9388
ENSMMUG00000051982	107
ENSMMUG00000034016	102
ENSMMUG00000026815	108
ENSMMUG00000059859	117
ENSMMUG00000053162	1485
ENSMMUG00000049105	4312
ENSMMUG00000052197	103
ENSMMUG00000040291	295
ENSMMUG00000059970	1233
ENSMMUG00000026930	83
ENSMMUG00000042670	296
ENSMMUG00000022935	2878
ENSMMUG00000054719	1110
ENSMMUG00000002005	4322
ENSMMUG00000011142	3335
ENSMMUG00000001978	5152
ENSMMUG00000050278	117
ENSMMUG00000050215	92
ENSMMUG00000026787	146
ENSMMUG00000049947	117
ENSMMUG00000016388	2154
ENSMMUG00000064135	148
ENSMMUG00000054696	148
ENSMMUG00000057545	883
ENSMMUG00000059285	2726
ENSMMUG00000057939	1253
ENSMMUG00000043626	3463
ENSMMUG00000057775	148
ENSMMUG00000057994	6877
ENSMMUG00000002003	1815
ENSMMUG00000033002	83
ENSMMUG00000008714	2875
ENSMMUG00000032712	90
ENSMMUG00000015176	1811
ENSMMUG00000056613	1955
ENSMMUG00000016335	2082
ENSMMUG00000062297	1463
ENSMMUG00000022648	3260
ENSMMUG00000014497	3088
ENSMMUG00000064766	4972
ENSMMUG00000049507	117
ENSMMUG00000001996	4958
ENSMMUG00000053808	148
ENSMMUG00000058495	5382
ENSMMUG00000058070	107
ENSMMUG00000059716	147
ENSMMUG00000038667	3910
ENSMMUG00000002001	348
ENSMMUG00000043063	1293
ENSMMUG00000008711	5676
ENSMMUG00000021030	2968
ENSMMUG00000018699	4837
ENSMMUG00000052652	1617
ENSMMUG00000012037	939
ENSMMUG00000058087	191
ENSMMUG00000062985	148
ENSMMUG00000011146	4197
ENSMMUG00000049961	56
ENSMMUG00000015173	3517
ENSMMUG00000013391	948
ENSMMUG00000013639	9053
ENSMMUG00000062210	102
ENSMMUG00000058126	1040
ENSMMUG00000061454	1865
ENSMMUG00000032293	750
ENSMMUG00000056654	1404
ENSMMUG00000017333	4082
ENSMMUG00000062942	430
ENSMMUG00000065097	3852
ENSMMUG00000014620	3700
ENSMMUG00000059151	646
ENSMMUG00000063750	627
ENSMMUG00000053012	747
ENSMMUG00000008518	1693
ENSMMUG00000021082	3408
ENSMMUG00000009981	2504
ENSMMUG00000056439	1131
ENSMMUG00000044166	2248
ENSMMUG00000008515	1768
ENSMMUG00000008709	5642
ENSMMUG00000011149	561
ENSMMUG00000049701	1972
ENSMMUG00000055220	495
ENSMMUG00000062280	2234
ENSMMUG00000049651	2625
ENSMMUG00000000676	2932
ENSMMUG00000055024	2994
ENSMMUG00000049494	1287
ENSMMUG00000053426	2822
ENSMMUG00000026871	104
ENSMMUG00000063003	148
ENSMMUG00000028337	104
ENSMMUG00000002400	4475
ENSMMUG00000021642	5174
ENSMMUG00000022510	2846
ENSMMUG00000050913	4618
ENSMMUG00000052790	2784
ENSMMUG00000045497	8248
ENSMMUG00000021641	6441
ENSMMUG00000064508	147
ENSMMUG00000027811	107
ENSMMUG00000021640	1620
ENSMMUG00000059264	99
ENSMMUG00000063959	4121
ENSMMUG00000055124	716
ENSMMUG00000000838	8011
ENSMMUG00000060784	2258
ENSMMUG00000057158	148
ENSMMUG00000012227	3793
ENSMMUG00000015174	2808
ENSMMUG00000051963	1706
ENSMMUG00000050852	148
ENSMMUG00000020726	4729
ENSMMUG00000032284	4323
ENSMMUG00000010335	4887
ENSMMUG00000009781	2751
ENSMMUG00000060677	321
ENSMMUG00000046915	298
ENSMMUG00000038836	1615
ENSMMUG00000051471	1561
ENSMMUG00000049808	148
ENSMMUG00000013591	3098
ENSMMUG00000003472	3841
ENSMMUG00000021535	7733
ENSMMUG00000054938	1302
ENSMMUG00000016569	5181
ENSMMUG00000002227	4312
ENSMMUG00000021116	11864
ENSMMUG00000059549	2072
ENSMMUG00000019528	3180
ENSMMUG00000003786	9888
ENSMMUG00000019527	3433
ENSMMUG00000006787	492
ENSMMUG00000009358	4626
ENSMMUG00000000243	5427
ENSMMUG00000054681	2448
ENSMMUG00000058823	148
ENSMMUG00000052630	117
ENSMMUG00000063419	505
ENSMMUG00000062278	1335
ENSMMUG00000006786	5373
ENSMMUG00000000244	5932
ENSMMUG00000027268	96
ENSMMUG00000050780	148
ENSMMUG00000009354	2149
ENSMMUG00000016130	1745
ENSMMUG00000057691	2304
ENSMMUG00000034851	103
ENSMMUG00000060515	1569
ENSMMUG00000000134	1713
ENSMMUG00000056100	2430
ENSMMUG00000000245	10431
ENSMMUG00000009350	3831
ENSMMUG00000009347	1808
ENSMMUG00000005782	4269
ENSMMUG00000012334	1134
ENSMMUG00000017823	2409
ENSMMUG00000058719	1840
ENSMMUG00000063323	117
ENSMMUG00000044424	323
ENSMMUG00000025751	161
ENSMMUG00000005785	4080
ENSMMUG00000017819	5316
ENSMMUG00000049297	1448
ENSMMUG00000050661	1758
ENSMMUG00000035725	104
ENSMMUG00000050757	3753
ENSMMUG00000056198	324
ENSMMUG00000011434	7004
ENSMMUG00000058395	2847
ENSMMUG00000001817	759
ENSMMUG00000013649	2469
ENSMMUG00000004758	6212
ENSMMUG00000055405	312
ENSMMUG00000058965	107
ENSMMUG00000023203	4788
ENSMMUG00000012322	4221
ENSMMUG00000057650	1955
ENSMMUG00000035909	106
ENSMMUG00000011435	1101
ENSMMUG00000056097	1927
ENSMMUG00000042699	1881
ENSMMUG00000017817	4540
ENSMMUG00000007266	3995
ENSMMUG00000055584	1046
ENSMMUG00000013962	3281
ENSMMUG00000063012	2214
ENSMMUG00000059492	2040
ENSMMUG00000019058	3264
ENSMMUG00000063956	1018
ENSMMUG00000005129	723
ENSMMUG00000064681	1237
ENSMMUG00000001690	5780
ENSMMUG00000010852	1841
ENSMMUG00000019098	7048
ENSMMUG00000016014	3005
ENSMMUG00000057068	100
ENSMMUG00000057992	104
ENSMMUG00000050685	1700
ENSMMUG00000063355	1532
ENSMMUG00000064630	724
ENSMMUG00000006171	3455
ENSMMUG00000058127	117
ENSMMUG00000062345	148
ENSMMUG00000021820	3951
ENSMMUG00000001686	2295
ENSMMUG00000007273	6588
ENSMMUG00000052360	148
ENSMMUG00000057278	1522
ENSMMUG00000058665	4906
ENSMMUG00000010849	8301
ENSMMUG00000053221	2011
ENSMMUG00000061874	101
ENSMMUG00000042537	318
ENSMMUG00000007767	3648
ENSMMUG00000056548	2409
ENSMMUG00000051438	1180
ENSMMUG00000008640	693
ENSMMUG00000059035	148
ENSMMUG00000033542	125
ENSMMUG00000014013	4375
ENSMMUG00000059489	6649
ENSMMUG00000054133	2181
ENSMMUG00000017114	5181
ENSMMUG00000061649	6239
ENSMMUG00000053915	2847
ENSMMUG00000015668	2834
ENSMMUG00000057102	2296
ENSMMUG00000054016	259
ENSMMUG00000054134	99
ENSMMUG00000060740	148
ENSMMUG00000006369	4626
ENSMMUG00000037429	61
ENSMMUG00000064693	104
ENSMMUG00000007766	3157
ENSMMUG00000013858	7229
ENSMMUG00000007765	3308
ENSMMUG00000010539	6229
ENSMMUG00000037458	786
ENSMMUG00000018455	6076
ENSMMUG00000065076	2136
ENSMMUG00000051559	3828
ENSMMUG00000047630	2487
ENSMMUG00000064988	159
ENSMMUG00000026913	110
ENSMMUG00000051866	147
ENSMMUG00000027103	110
ENSMMUG00000053450	107
ENSMMUG00000064032	104
ENSMMUG00000007278	555
ENSMMUG00000057625	664
ENSMMUG00000056107	117
ENSMMUG00000052670	1265
ENSMMUG00000007279	3347
ENSMMUG00000050522	105
ENSMMUG00000016563	7495
ENSMMUG00000022437	2085
ENSMMUG00000050825	2693
ENSMMUG00000032238	5233
ENSMMUG00000007280	5631
ENSMMUG00000014489	3207
ENSMMUG00000051619	1995
ENSMMUG00000050983	1992
ENSMMUG00000052184	2163
ENSMMUG00000064736	148
ENSMMUG00000055844	895
ENSMMUG00000014486	2661
ENSMMUG00000011236	2037
ENSMMUG00000001616	6363
ENSMMUG00000001614	1306
ENSMMUG00000065134	1204
ENSMMUG00000060248	1603
ENSMMUG00000059499	600
ENSMMUG00000031372	1779
ENSMMUG00000063658	3249
ENSMMUG00000055783	4318
ENSMMUG00000058865	3825
ENSMMUG00000031378	609
ENSMMUG00000036962	149
ENSMMUG00000057372	2223
ENSMMUG00000059912	1202
ENSMMUG00000008460	1866
ENSMMUG00000061368	552
ENSMMUG00000001610	3998
ENSMMUG00000008462	2461
ENSMMUG00000008464	1599
ENSMMUG00000003647	905
ENSMMUG00000064841	3356
ENSMMUG00000017508	5606
ENSMMUG00000025711	121
ENSMMUG00000053451	3336
ENSMMUG00000060674	3633
ENSMMUG00000018263	1046
ENSMMUG00000023345	2671
ENSMMUG00000053047	59
ENSMMUG00000007315	11171
ENSMMUG00000002350	4681
ENSMMUG00000001569	5828
ENSMMUG00000010594	2811
ENSMMUG00000054277	1529
ENSMMUG00000052809	164
ENSMMUG00000049326	1042
ENSMMUG00000059366	164
ENSMMUG00000049803	165
ENSMMUG00000065044	1615
ENSMMUG00000061855	164
ENSMMUG00000058410	164
ENSMMUG00000052878	144
ENSMMUG00000062464	144
ENSMMUG00000051624	1290
ENSMMUG00000022525	3075
ENSMMUG00000053920	164
ENSMMUG00000055356	1139
ENSMMUG00000052304	164
ENSMMUG00000057801	849
ENSMMUG00000050425	2951
ENSMMUG00000052555	3925
ENSMMUG00000055415	1275
ENSMMUG00000063117	2210
ENSMMUG00000050778	279
ENSMMUG00000047409	2412
ENSMMUG00000002899	5013
ENSMMUG00000019940	2203
ENSMMUG00000010352	2028
ENSMMUG00000062662	1388
ENSMMUG00000011987	5602
ENSMMUG00000015898	4228
ENSMMUG00000055372	1493
ENSMMUG00000045364	3603
ENSMMUG00000060669	1177
ENSMMUG00000018221	9486
ENSMMUG00000012733	2963
ENSMMUG00000018325	2522
ENSMMUG00000018326	4307
ENSMMUG00000018322	5233
ENSMMUG00000015804	3933
ENSMMUG00000060620	438
ENSMMUG00000012259	1194
ENSMMUG00000057910	4115
ENSMMUG00000015802	1932
ENSMMUG00000021649	4109
ENSMMUG00000015800	3510
ENSMMUG00000018318	4118
ENSMMUG00000011992	375
ENSMMUG00000063855	9637
ENSMMUG00000065250	3951
ENSMMUG00000005947	3417
ENSMMUG00000044790	296
ENSMMUG00000050502	149
ENSMMUG00000060644	2517
ENSMMUG00000000009	5068
ENSMMUG00000014410	2696
ENSMMUG00000064420	117
ENSMMUG00000020218	6204
ENSMMUG00000039874	3259
ENSMMUG00000018245	6025
ENSMMUG00000004768	2940
ENSMMUG00000026884	110
ENSMMUG00000026915	110
ENSMMUG00000055114	1016
ENSMMUG00000053069	1992
ENSMMUG00000053987	146
ENSMMUG00000057477	1346
ENSMMUG00000020200	1134
ENSMMUG00000057677	425
ENSMMUG00000043676	62
ENSMMUG00000055580	148
ENSMMUG00000004767	5109
ENSMMUG00000058968	148
ENSMMUG00000055849	103
ENSMMUG00000020217	3503
ENSMMUG00000036028	141
ENSMMUG00000024787	110
ENSMMUG00000039854	107
ENSMMUG00000016188	4021
ENSMMUG00000057802	107
ENSMMUG00000035331	103
ENSMMUG00000063532	1263
ENSMMUG00000053424	1193
ENSMMUG00000062588	148
ENSMMUG00000004762	4955
ENSMMUG00000007334	3284
ENSMMUG00000050830	1438
ENSMMUG00000005994	6072
ENSMMUG00000004266	4950
ENSMMUG00000058587	5362
ENSMMUG00000047939	225
ENSMMUG00000049904	1565
ENSMMUG00000025559	105
ENSMMUG00000053031	148
ENSMMUG00000051563	1511
ENSMMUG00000016893	4786
ENSMMUG00000005990	936
ENSMMUG00000004268	3001
ENSMMUG00000018235	5349
ENSMMUG00000040425	2117
ENSMMUG00000064416	148
ENSMMUG00000061104	756
ENSMMUG00000018695	1078
ENSMMUG00000015115	2357
ENSMMUG00000021031	1714
ENSMMUG00000050286	1109
ENSMMUG00000000875	3572
ENSMMUG00000010290	2151
ENSMMUG00000012218	5438
ENSMMUG00000002555	1937
ENSMMUG00000010291	3078
ENSMMUG00000018723	2140
ENSMMUG00000018721	1961
ENSMMUG00000013855	837
ENSMMUG00000058432	1290
ENSMMUG00000000873	3905
ENSMMUG00000001910	2111
ENSMMUG00000001911	2105
ENSMMUG00000042737	292
ENSMMUG00000052463	147
ENSMMUG00000012700	3039
ENSMMUG00000026673	73
ENSMMUG00000025228	84
ENSMMUG00000025802	79
ENSMMUG00000012219	1086
ENSMMUG00000008031	2840
ENSMMUG00000063678	7133
ENSMMUG00000007220	2499
ENSMMUG00000052462	5460
ENSMMUG00000012697	7316
ENSMMUG00000026793	103
ENSMMUG00000054727	5718
ENSMMUG00000005921	9282
ENSMMUG00000017907	7077
ENSMMUG00000008026	11226
ENSMMUG00000055329	107
ENSMMUG00000005287	3886
ENSMMUG00000058507	1877
ENSMMUG00000056266	253
ENSMMUG00000014595	931
ENSMMUG00000053669	101
ENSMMUG00000060442	104
ENSMMUG00000053479	39
ENSMMUG00000048752	102
ENSMMUG00000049989	116
ENSMMUG00000045313	301
ENSMMUG00000032243	3725
ENSMMUG00000022111	3808
ENSMMUG00000045777	7978
ENSMMUG00000019493	7841
ENSMMUG00000055524	1734
ENSMMUG00000057582	148
ENSMMUG00000062199	148
ENSMMUG00000017414	6098
ENSMMUG00000018797	8263
ENSMMUG00000018802	1729
ENSMMUG00000018803	4419
ENSMMUG00000059935	320
ENSMMUG00000051392	1856
ENSMMUG00000017419	621
ENSMMUG00000022426	3961
ENSMMUG00000013500	5208
ENSMMUG00000019488	7541
ENSMMUG00000055712	148
ENSMMUG00000049753	148
ENSMMUG00000057870	117
ENSMMUG00000010478	3960
ENSMMUG00000013504	3849
ENSMMUG00000010241	12413
ENSMMUG00000013506	5817
ENSMMUG00000056199	1236
ENSMMUG00000050259	1160
ENSMMUG00000010240	475
ENSMMUG00000013507	5816
ENSMMUG00000010480	5359
ENSMMUG00000000649	1582
ENSMMUG00000046222	995
ENSMMUG00000059120	148
ENSMMUG00000049995	148
ENSMMUG00000063592	265
ENSMMUG00000049565	5477
ENSMMUG00000061689	2006
ENSMMUG00000047008	2293
ENSMMUG00000018585	3240
ENSMMUG00000000644	5816
ENSMMUG00000020772	2353
ENSMMUG00000004100	3013
ENSMMUG00000026875	111
ENSMMUG00000004109	3020
ENSMMUG00000001908	6626
ENSMMUG00000059396	148
ENSMMUG00000004113	3357
ENSMMUG00000042455	3773
ENSMMUG00000054201	107
ENSMMUG00000012465	1872
ENSMMUG00000001024	1952
ENSMMUG00000061900	1017
ENSMMUG00000055311	656
ENSMMUG00000059676	414
ENSMMUG00000004116	3795
ENSMMUG00000064500	4653
ENSMMUG00000028002	107
ENSMMUG00000050499	1028
ENSMMUG00000062335	2580
ENSMMUG00000054753	89
ENSMMUG00000059469	1017
ENSMMUG00000062268	117
ENSMMUG00000065181	3003
ENSMMUG00000032213	2596
ENSMMUG00000051039	148
ENSMMUG00000064105	759
ENSMMUG00000064439	1171
ENSMMUG00000055835	5518
ENSMMUG00000032214	2142
ENSMMUG00000026143	129
ENSMMUG00000040742	192
ENSMMUG00000004682	405
ENSMMUG00000039194	546
ENSMMUG00000021426	8107
ENSMMUG00000045223	1487
ENSMMUG00000016874	2261
ENSMMUG00000009452	5746
ENSMMUG00000061379	1591
ENSMMUG00000012328	4339
ENSMMUG00000061744	4600
ENSMMUG00000057443	107
ENSMMUG00000003673	2442
ENSMMUG00000035687	83
ENSMMUG00000014694	2664
ENSMMUG00000000655	4143
ENSMMUG00000001916	4544
ENSMMUG00000056006	462
ENSMMUG00000061872	8088
ENSMMUG00000059618	104
ENSMMUG00000000653	2687
ENSMMUG00000021591	1996
ENSMMUG00000025936	110
ENSMMUG00000007857	2873
ENSMMUG00000007856	2140
ENSMMUG00000055438	4142
ENSMMUG00000032777	86
ENSMMUG00000007854	3471
ENSMMUG00000002254	615
ENSMMUG00000054385	1272
ENSMMUG00000004318	2680
ENSMMUG00000004788	1833
ENSMMUG00000057092	1260
ENSMMUG00000050620	3742
ENSMMUG00000063601	696
ENSMMUG00000064534	1525
ENSMMUG00000022614	9430
ENSMMUG00000001921	2582
ENSMMUG00000001923	3912
ENSMMUG00000001924	1385
ENSMMUG00000053279	134
ENSMMUG00000001926	2631
ENSMMUG00000001929	5787
ENSMMUG00000055286	148
ENSMMUG00000064915	149
ENSMMUG00000061850	2408
ENSMMUG00000056714	148
ENSMMUG00000032143	5129
ENSMMUG00000018867	4730
ENSMMUG00000019871	4031
ENSMMUG00000019873	1637
ENSMMUG00000056043	5612
ENSMMUG00000059567	148
ENSMMUG00000055389	2679
ENSMMUG00000004864	621
ENSMMUG00000002526	3234
ENSMMUG00000004863	1194
ENSMMUG00000056620	3620
ENSMMUG00000063131	2748
ENSMMUG00000020162	3629
ENSMMUG00000045607	4538
ENSMMUG00000002528	2850
ENSMMUG00000044038	547
ENSMMUG00000054075	1388
ENSMMUG00000058611	3176
ENSMMUG00000014634	1134
ENSMMUG00000056382	990
ENSMMUG00000055679	1899
ENSMMUG00000002714	8305
ENSMMUG00000023566	3210
ENSMMUG00000023567	2078
ENSMMUG00000034409	191
ENSMMUG00000023569	1581
ENSMMUG00000051918	148
ENSMMUG00000023570	645
ENSMMUG00000023571	908
ENSMMUG00000023573	6813
ENSMMUG00000023572	624
ENSMMUG00000011220	4849
ENSMMUG00000032149	3886
ENSMMUG00000011568	3188
ENSMMUG00000061065	2128
ENSMMUG00000063599	3090
ENSMMUG00000015078	3945
ENSMMUG00000054850	3441
ENSMMUG00000016452	2889
ENSMMUG00000015080	3691
ENSMMUG00000019033	2646
ENSMMUG00000015371	6160
ENSMMUG00000056263	5361
ENSMMUG00000020209	3791
ENSMMUG00000045342	645
ENSMMUG00000004441	532
ENSMMUG00000042487	3317
ENSMMUG00000052533	1110
