mmul_gene_id	mmul_symbol	human_symbol
ENSMMUG00000009655	FANK1	FANK1
ENSMMUG00000003200	FAP	FAP
ENSMMUG00000011990	FAR1	FAR1
ENSMMUG00000015810	FAR2	FAR2
ENSMMUG00000009890	FARP1	FARP1
ENSMMUG00000001313	FARP2	FARP2
ENSMMUG00000004390	FARSA	FARSA
ENSMMUG00000007685	FARSB	FARSB
ENSMMUG00000065134	FASLG	FASLG
ENSMMUG00000012811	FASN	FASN
ENSMMUG00000020459	FASTK	FASTK
ENSMMUG00000017735	FASTKD2	FASTKD2
ENSMMUG00000003497	FAT2	FAT2
ENSMMUG00000060452	FAT3	FAT3
ENSMMUG00000011810	FAT4	FAT4
ENSMMUG00000040974	FATE1	FATE1
ENSMMUG00000018776	FAU	FAU
ENSMMUG00000005923	FAXC	FAXC
ENSMMUG00000009413	FAXDC2	FAXDC2
ENSMMUG00000016775	FBF1	FBF1
ENSMMUG00000022725	FBL	FBL
ENSMMUG00000002424	FBLN1	FBLN1
ENSMMUG00000008447	FBLN5	FBLN5
ENSMMUG00000004239	FBN1	FBN1
ENSMMUG00000061632	FBN3	FBN3
ENSMMUG00000022536	FBP1	FBP1
ENSMMUG00000022535	FBP2	FBP2
ENSMMUG00000012427	FBXL13	FBXL13
ENSMMUG00000019440	FBXL14	FBXL14
ENSMMUG00000056510	FBXL15	FBXL15
ENSMMUG00000016906	FBXL16	FBXL16
ENSMMUG00000003230	FBXL19	FBXL19
ENSMMUG00000001948	FBXL21	FBXL21P
ENSMMUG00000021458	FBXL3	FBXL8
ENSMMUG00000001659	FBXL4	FBXL4
ENSMMUG00000009388	FBXL5	FBXL5
ENSMMUG00000007370	FBXL6	FBXL6
ENSMMUG00000013364	FBXL7	FBXL7
ENSMMUG00000017886	FBXO10	FBXO10
ENSMMUG00000022843	FBXO11	FBXO11
ENSMMUG00000023298	FBXO15	FBXO15
ENSMMUG00000017479	FBXO21	FBXO21
ENSMMUG00000011105	FBXO25	FBXO25
ENSMMUG00000000676	FBXO28	FBXO28
ENSMMUG00000006063	FBXO3	FBXO3
ENSMMUG00000021936	FBXO30	FBXO30
ENSMMUG00000063535	FBXO31	FBXO31
ENSMMUG00000023778	FBXO32	FBXO32
ENSMMUG00000006984	FBXO33	FBXO33
ENSMMUG00000023258	FBXO34	FBXO34
ENSMMUG00000009604	FBXO39	FBXO39
ENSMMUG00000013543	FBXO40	FBXO40
ENSMMUG00000047722	FBXO41	FBXO41
ENSMMUG00000012733	FBXO42	FBXO42
ENSMMUG00000032251	FBXO44	FBXO44
ENSMMUG00000021360	FBXO46	FBXO46
ENSMMUG00000018180	FBXO47	FBXO47
ENSMMUG00000060845	FBXO48	FBXO48
ENSMMUG00000019076	FBXO5	FBXO5
ENSMMUG00000006728	FBXO7	FBXO7
ENSMMUG00000002331	FBXO8	FBXO8
ENSMMUG00000005340	FBXO9	FBXO9
ENSMMUG00000016008	FBXW11	FBXW11
ENSMMUG00000001646	FBXW2	FBXW2
ENSMMUG00000052198	FBXW4	FBXW4
ENSMMUG00000020330	FBXW7	FBXW7
ENSMMUG00000017475	FBXW8	FBXW8
ENSMMUG00000016870	FBXW9	FBXW9
ENSMMUG00000008531	FCAR	FCAR
ENSMMUG00000013428	FCER1A	FCER1A
ENSMMUG00000004512	FCER1G	FCER1G
ENSMMUG00000043304	FCER2	FCER2
ENSMMUG00000008887	FCF1	FCF1
ENSMMUG00000003775	FCGR2A	FCGR2A
ENSMMUG00000016206	FCGR3	FCGR3A
ENSMMUG00000012273	FCGRT	FCGRT
ENSMMUG00000063172	FCGRT	FCGRT
ENSMMUG00000015422	FCHO2	FCHO2
ENSMMUG00000001294	FCHSD2	FCHSD2
ENSMMUG00000059959	FCN1	FCN1
ENSMMUG00000014403	FCN2	FCN2
ENSMMUG00000019833	FCRL1	FCRL1
ENSMMUG00000019830	FCRL2	FCRL2
ENSMMUG00000046969	FCRL3	FCRL3
ENSMMUG00000008973	FCRL4	FCRL4
ENSMMUG00000011335	FCRL6	FCRL6
ENSMMUG00000056482	FCRLB	FCRLB
ENSMMUG00000062248	FDCSP	FDCSP
ENSMMUG00000054351	FDFT1	FDFT1
ENSMMUG00000015648	FDXR	FDXR
ENSMMUG00000022568	FECH	FECH
ENSMMUG00000008311	FEM1B	FEM1B
ENSMMUG00000053101	FEM1C	FEM1C
ENSMMUG00000006657	FEN1	FEN1
ENSMMUG00000013582	FER	FER
ENSMMUG00000016375	FER1L6	FER1L6
ENSMMUG00000013749	FERMT1	FERMT1
ENSMMUG00000010689	FERMT2	FERMT2
ENSMMUG00000004659	FES	FES
ENSMMUG00000018909	FETUB	FETUB
ENSMMUG00000064772	FEV	FEV
ENSMMUG00000008048	FEZ1	FEZ1
ENSMMUG00000021592	FEZF2	FEZF2
ENSMMUG00000062200	FFAR1	FFAR1
ENSMMUG00000002695	FFAR2	FFAR2
ENSMMUG00000021303	FGA	FGA
ENSMMUG00000021302	FGB	FGB
ENSMMUG00000012613	FGD1	FGD1
ENSMMUG00000022193	FGD2	FGD2
ENSMMUG00000020795	FGD3	FGD3
ENSMMUG00000004851	FGD4	FGD4
ENSMMUG00000018446	FGD5	FGD5
ENSMMUG00000018901	FGD6	FGD6
ENSMMUG00000057828	FGF1	FGF1
ENSMMUG00000047162	FGF10	FGF10
ENSMMUG00000061498	FGF11	FGF11
ENSMMUG00000000949	FGF12	FGF12
ENSMMUG00000012484	FGF13	FGF13
ENSMMUG00000002875	FGF14	FGF14
ENSMMUG00000011744	FGF16	FGF16
ENSMMUG00000053386	FGF19	FGF19
ENSMMUG00000007419	FGF2	FGF2
ENSMMUG00000062368	FGF20	FGF20
ENSMMUG00000055423	FGF22	FGF22
ENSMMUG00000064833	FGF23	FGF23
ENSMMUG00000051149	FGF3	FGF3
ENSMMUG00000057940	FGF4	FGF4
ENSMMUG00000009067	FGF5	FGF5
ENSMMUG00000053967	FGF6	FGF6
ENSMMUG00000009842	FGF7	FGF7
ENSMMUG00000008162	FGFBP1	FGFBP1
ENSMMUG00000008163	FGFBP2	FGFBP2
ENSMMUG00000006468	FGFR1OP2	FGFR1OP2
ENSMMUG00000019945	FGFR3	FGFR3
ENSMMUG00000032300	FGFRL1	FGFRL1
ENSMMUG00000021304	FGG	FGG
ENSMMUG00000055568	FGL2	FGL2
ENSMMUG00000014434	FGR	FGR
ENSMMUG00000005667	FH	FH
ENSMMUG00000003987	FHAD1	FHAD1
ENSMMUG00000018493	FHDC1	FHDC1
ENSMMUG00000012832	FHIT	FHIT
ENSMMUG00000007922	FHL1	FHL1
ENSMMUG00000016594	FHL2	FHL2
ENSMMUG00000023200	FHL3	FHL3
ENSMMUG00000012621	FHL5	FHL5
ENSMMUG00000018111	FHOD1	FHOD1
ENSMMUG00000006862	FHOD3	FHOD3
ENSMMUG00000013358	FIBIN	FIBIN
ENSMMUG00000008651	FIBP	FIBP
ENSMMUG00000017123	FICD	FICD
ENSMMUG00000020538	FIG4	FIG4
ENSMMUG00000023611	FIGN	FIGN
ENSMMUG00000019275	FILIP1	FILIP1
ENSMMUG00000002945	FILIP1L	FILIP1L
ENSMMUG00000052148	FIS1	FIS1
ENSMMUG00000049910	FITM1	FITM1
ENSMMUG00000029871	FITM2	FITM2
ENSMMUG00000013054	FKBP10	FKBP10
ENSMMUG00000012528	FKBP14	FKBP14
ENSMMUG00000000173	FKBP15	FKBP15
ENSMMUG00000015996	FKBP1A	FKBP1A
ENSMMUG00000052726	FKBP1B	FKBP1B
ENSMMUG00000048072	FKBP2	FKBP2
ENSMMUG00000016512	FKBP3	FKBP3
ENSMMUG00000007405	FKBP4	FKBP4
ENSMMUG00000052881	FKBP6	FKBP6
ENSMMUG00000002187	FKBP7	FKBP7
ENSMMUG00000009587	FKBP8	FKBP8
ENSMMUG00000015230	FKBPL	FKBPL
ENSMMUG00000028743	FKRP	FKRP
ENSMMUG00000006584	FLAD1	FLAD1
ENSMMUG00000013345	FLCN	FLCN
ENSMMUG00000059472	FLG2	FLG2
ENSMMUG00000003141	FLI1	FLI1
ENSMMUG00000018355	FLII	FLII
ENSMMUG00000013668	FLNA	FLNA
ENSMMUG00000000706	FLNB	FLNB
ENSMMUG00000014071	FLOT1	FLOT1
ENSMMUG00000012523	FLOT2	FLOT2
ENSMMUG00000060032	FLOT2	FLOT2
ENSMMUG00000000482	FLRT1	FLRT1
ENSMMUG00000058999	FLRT2	FLRT2
ENSMMUG00000002916	FLRT3	FLRT3
ENSMMUG00000021538	FLT1	FLT1
ENSMMUG00000016139	FLT3	FLT3
ENSMMUG00000051892	FLT3LG	FLT3LG
ENSMMUG00000018693	FLT4	FLT4
ENSMMUG00000011732	FLVCR1	FLVCR1
ENSMMUG00000015884	FLYWCH1	FLYWCH1
ENSMMUG00000029785	FMN1	FMN1
ENSMMUG00000007859	FMNL1	FMNL1
ENSMMUG00000031452	FMNL2	FMNL2
ENSMMUG00000022498	FMNL3	FMNL3
ENSMMUG00000005069	FMO1	FMO1
ENSMMUG00000007952	FMO3	FMO3
ENSMMUG00000014230	FMO4	FMO4
ENSMMUG00000000476	FMO5	FMO5
ENSMMUG00000021642	FMOD	FMOD
ENSMMUG00000015814	FMR1	FMR1
ENSMMUG00000039691	FMR1NB	FMR1NB
ENSMMUG00000012321	FN1	FN1
ENSMMUG00000014660	FN3KRP	FN3KRP
ENSMMUG00000000500	FNDC1	FNDC1
ENSMMUG00000004189	FNDC3B	FNDC3B
ENSMMUG00000005101	FNDC4	FNDC4
ENSMMUG00000010156	FNDC7	FNDC7
ENSMMUG00000000744	FNDC8	FNDC8
ENSMMUG00000004340	FNTB	FNTB
ENSMMUG00000010455	FOLR1	FOLR1
ENSMMUG00000010453	FOLR2	FOLR2
ENSMMUG00000040100	FOS	FOS
ENSMMUG00000014464	FOSL2	FOSL2
ENSMMUG00000056013	FOXA1	FOXA1
ENSMMUG00000010410	FOXA2	FOXA2
ENSMMUG00000015438	FOXA3	FOXA3
ENSMMUG00000001379	FOXB1	FOXB1
ENSMMUG00000021769	FOXB2	FOXB2
ENSMMUG00000019498	FOXC2	FOXC2
ENSMMUG00000022350	FOXD3	FOXD3
ENSMMUG00000058235	FOXF1	FOXF1
ENSMMUG00000014124	FOXI1	FOXI1
ENSMMUG00000052332	FOXI2	FOXI2
ENSMMUG00000003533	FOXJ1	FOXJ1
ENSMMUG00000014138	FOXJ3	FOXJ3
ENSMMUG00000009129	FOXK2	FOXK2
ENSMMUG00000019385	FOXM1	FOXM1
ENSMMUG00000021975	FOXN1	FOXN1
ENSMMUG00000020677	FOXN2	FOXN2
ENSMMUG00000019898	FOXN3	FOXN3
ENSMMUG00000020375	FOXN4	FOXN4
ENSMMUG00000030780	FOXO1	FOXO1
ENSMMUG00000020369	FOXO3	FOXO3
ENSMMUG00000008624	FOXP3	FOXP3
ENSMMUG00000019985	FOXP4	FOXP4
ENSMMUG00000059043	FOXQ1	FOXQ1
ENSMMUG00000056381	FOXR1	FOXR1
ENSMMUG00000061763	FOXR2	FOXR2
ENSMMUG00000012751	FOXRED2	FOXRED2
ENSMMUG00000018506	FPGS	FPGS
ENSMMUG00000013049	FPR1	FPR1
ENSMMUG00000006151	FPR2	FPR2
ENSMMUG00000002308	FPR3	FPR3
ENSMMUG00000014715	FRA10AC1	FRA10AC1
ENSMMUG00000030511	FRAT1	FRAT1
ENSMMUG00000019633	FRAT2	FRAT2
ENSMMUG00000008128	FREM1	FREM1
ENSMMUG00000002702	FREM2	FREM2
ENSMMUG00000003319	FREM3	FREM3
ENSMMUG00000001824	FRG1	FRG1
ENSMMUG00000014635	FRK	FRK
ENSMMUG00000020445	FRMD1	FRMD1
ENSMMUG00000017180	FRMD3	FRMD3
ENSMMUG00000000387	FRMD4B	FRMD4B
ENSMMUG00000022777	FRMD5	FRMD5
ENSMMUG00000003479	FRMD7	FRMD7
ENSMMUG00000023300	FRMD8	FRMD8
ENSMMUG00000005902	FRMPD1	FRMPD1
ENSMMUG00000010252	FRMPD4	FRMPD4
ENSMMUG00000012417	FRS3	FRS3
ENSMMUG00000006705	FRYL	FRYL
ENSMMUG00000014396	FRZB	FRZB
ENSMMUG00000011876	FSCB	FSCB
ENSMMUG00000001583	FSCN2	FSCN2
ENSMMUG00000015427	FSCN3	FSCN3
ENSMMUG00000019138	FSD2	FSD2
ENSMMUG00000042298	FSHB	FSHB
ENSMMUG00000017196	FSHR	FSHR
ENSMMUG00000006038	FSIP1	FSIP1
ENSMMUG00000004860	FST	FST
ENSMMUG00000003062	FSTL4	FSTL4
ENSMMUG00000009033	FSTL5	FSTL5
ENSMMUG00000015146	FTH1	FTH1
ENSMMUG00000061308	FTHL17	FTHL17
ENSMMUG00000003909	FTL	FTL
ENSMMUG00000051455	FTMT	FTMT
ENSMMUG00000020583	FTO	FTO
ENSMMUG00000018894	FTSJ1	FTSJ1
ENSMMUG00000016768	FTSJ3	FTSJ3
ENSMMUG00000002899	FUBP1	FUBP1
ENSMMUG00000008249	FUBP3	FUBP3
ENSMMUG00000004216	FUCA1	FUCA1
ENSMMUG00000005366	FUCA2	FUCA2
ENSMMUG00000049085	FUNDC1	FUNDC1
ENSMMUG00000003505	FUNDC1	FUNDC1
ENSMMUG00000053499	FUNDC2	FUNDC2
ENSMMUG00000004657	FURIN	FURIN
ENSMMUG00000004020	FUT1	FUT1
ENSMMUG00000022511	FUT10	POFUT3
ENSMMUG00000013695	FUT11	POFUT4
ENSMMUG00000013848	FUT8	FUT8
ENSMMUG00000002598	FUT9	FUT9
ENSMMUG00000000357	FXN	FXN
ENSMMUG00000012105	FXR1	FXR1
ENSMMUG00000013510	FXR2	FXR2
ENSMMUG00000022127	FXYD3	FXYD3
ENSMMUG00000007796	FXYD6	FXYD6
ENSMMUG00000023585	FYCO1	FYCO1
ENSMMUG00000017017	FYN	FYN
ENSMMUG00000048439	FYTTD1	FYTTD1
ENSMMUG00000006912	FZD10	FZD10
ENSMMUG00000011038	FZD2	FZD2
ENSMMUG00000007486	FZD3	FZD3
ENSMMUG00000004048	FZD4	FZD4
ENSMMUG00000019399	FZD6	FZD6
ENSMMUG00000045285	FZD7	FZD7
ENSMMUG00000001694	FZD8	FZD8
ENSMMUG00000019870	FZR1	FZR1
ENSMMUG00000019691	G2E3	G2E3
ENSMMUG00000002153	G3BP2	G3BP2
ENSMMUG00000050615	G6PC3	G6PC3
ENSMMUG00000017409	G6PD	G6PD
ENSMMUG00000009589	GAA	GAA
ENSMMUG00000000828	GAB1	GAB1
ENSMMUG00000017477	GAB2	GAB2
ENSMMUG00000015190	GAB3	GAB3
ENSMMUG00000010545	GABARAP	GABARAP
ENSMMUG00000002197	GABARAPL1	GABARAPL1
ENSMMUG00000051441	GABARAPL2	GABARAPL2
ENSMMUG00000021483	GABBR1	GABBR1
ENSMMUG00000008727	GABPA	GABPA
ENSMMUG00000002879	GABPB1	GABPB1
ENSMMUG00000007296	GABRA1	GABRA1
ENSMMUG00000003614	GABRA2	GABRA2
ENSMMUG00000001540	GABRA3	GABRA3
ENSMMUG00000009526	GABRA4	GABRA4
ENSMMUG00000023554	GABRA5	GABRA5
ENSMMUG00000002832	GABRA6	GABRA6
ENSMMUG00000004314	GABRB1	GABRB1
ENSMMUG00000018044	GABRB2	GABRB2
ENSMMUG00000051793	GABRB3	GABRB3
ENSMMUG00000010936	GABRE	GABRE
ENSMMUG00000009707	GABRG2	GABRG2
ENSMMUG00000000570	GABRP	GABRP
ENSMMUG00000054328	GABRQ	GABRQ
ENSMMUG00000014943	GABRR1	GABRR1
ENSMMUG00000019530	GABRR2	GABRR2
ENSMMUG00000005977	GABRR3	GABRR3
ENSMMUG00000015198	GAD1	GAD1
ENSMMUG00000012233	GAD2	GAD2
ENSMMUG00000056103	GADD45A	GADD45A
ENSMMUG00000003468	GADD45B	GADD45B
ENSMMUG00000048737	GADD45G	GADD45G
ENSMMUG00000010033	GADL1	GADL1
ENSMMUG00000016919	GAK	GAK
ENSMMUG00000064009	GAL3ST1	GAL3ST1
ENSMMUG00000052507	GAL3ST3	GAL3ST3
ENSMMUG00000018404	GAL3ST4	GAL3ST4
ENSMMUG00000017261	GALC	GALC
ENSMMUG00000019549	GALE	GALE
ENSMMUG00000021765	GALK1	GALK1
ENSMMUG00000009839	GALK2	GALK2
ENSMMUG00000000457	GALNT1	GALNT1
ENSMMUG00000010615	GALNT10	GALNT10
ENSMMUG00000012238	GALNT11	GALNT11
ENSMMUG00000019561	GALNT12	GALNT12
ENSMMUG00000003474	GALNT14	GALNT14
ENSMMUG00000002285	GALNT2	GALNT2
ENSMMUG00000019177	GALNT3	GALNT3
ENSMMUG00000017717	GALNT5	GALNT5
ENSMMUG00000023165	GALNT6	GALNT6
ENSMMUG00000013106	GALNT7	GALNT7
ENSMMUG00000003735	GALNT9	GALNT9
ENSMMUG00000016767	GALNTL6	GALNTL6
ENSMMUG00000053003	GALR1	GALR1
ENSMMUG00000049812	GALR2	GALR2
ENSMMUG00000053113	GALR3	GALR3
ENSMMUG00000003046	GAMT	GAMT
ENSMMUG00000015029	GAN	GAN
ENSMMUG00000018117	GANAB	GANAB
ENSMMUG00000001532	GANC	GANC
ENSMMUG00000012578	GAP43	GAP43
ENSMMUG00000018679	GAPDH	GAPDH
ENSMMUG00000000837	GAPDHS	GAPDHS
ENSMMUG00000054535	GAPT	GAPT
ENSMMUG00000022702	GART	GART
ENSMMUG00000020818	GAS2	GAS2
ENSMMUG00000013142	GAS2L2	GAS2L2
ENSMMUG00000020360	GAS2L3	GAS2L3
ENSMMUG00000007428	GAS6	GAS6
ENSMMUG00000000401	GAS8	DRC4
ENSMMUG00000063004	GAST	GAST
ENSMMUG00000006944	GATA3	GATA3
ENSMMUG00000019208	GATA4	GATA4
ENSMMUG00000010944	GATA6	GATA6
ENSMMUG00000010104	GATAD1	GATAD1
ENSMMUG00000002696	GATAD2B	GATAD2B
ENSMMUG00000005856	GATM	GATM
ENSMMUG00000016331	GBA2	GBA2
ENSMMUG00000015877	GBE1	GBE1
ENSMMUG00000002985	GBF1	GBF1
ENSMMUG00000020157	GBP6	GBP6
ENSMMUG00000005911	GBX2	GBX2
ENSMMUG00000023241	GC	GC
ENSMMUG00000019590	GCA	GCA
ENSMMUG00000015258	GCAT	GCAT
ENSMMUG00000015421	GCC1	GCC1
ENSMMUG00000007043	GCDH	GCDH
ENSMMUG00000000256	GCGR	GCGR
ENSMMUG00000004084	GCH1	GCH1
ENSMMUG00000047091	GCHFR	GCHFR
ENSMMUG00000002427	GCK	GCK
ENSMMUG00000005102	GCKR	GCKR
ENSMMUG00000008684	GCLC	GCLC
ENSMMUG00000022083	GCM1	GCM1
ENSMMUG00000007719	GCM2	GCM2
ENSMMUG00000060380	GCNT1	GCNT1
ENSMMUG00000020132	GCNT2	GCNT2
ENSMMUG00000018426	GCNT3	GCNT3
ENSMMUG00000062215	GCNT7	GCNT7
ENSMMUG00000016073	GCSAM	GCSAM
ENSMMUG00000019196	GDA	GDA
ENSMMUG00000022326	GDAP1	GDAP1
ENSMMUG00000002839	GDAP1L1	GDAP1L1
ENSMMUG00000013331	GDE1	GDE1
ENSMMUG00000011912	GDF10	GDF10
ENSMMUG00000050122	GDF15	GDF15
ENSMMUG00000055320	GDF2	GDF2
ENSMMUG00000052679	GDF3	GDF3
ENSMMUG00000057979	GDF5	GDF5
ENSMMUG00000065198	GDF6	GDF6
ENSMMUG00000050446	GDF7	GDF7
ENSMMUG00000005502	GDI1	GDI1
ENSMMUG00000013182	GDI2	GDI2
ENSMMUG00000018963	GDNF	GDNF
ENSMMUG00000013943	GDPD2	GDPD2
ENSMMUG00000029164	GDPD3	GDPD3
ENSMMUG00000009022	GDPD5	GDPD5
ENSMMUG00000029504	GDPGP1	GDPGP1
ENSMMUG00000062934	GEM	GEM
ENSMMUG00000030401	GEMIN4	GEMIN4
ENSMMUG00000021228	GEMIN5	GEMIN5
ENSMMUG00000009174	GEMIN6	GEMIN6
ENSMMUG00000057217	GEMIN7	GEMIN7
ENSMMUG00000060815	GEMIN7	GEMIN7
ENSMMUG00000013595	GEMIN8	GEMIN8
ENSMMUG00000012058	GEN1	GEN1
ENSMMUG00000013115	GFAP	GFAP
ENSMMUG00000052399	GFER	GFER
ENSMMUG00000005068	GFI1	GFI1
ENSMMUG00000005948	GFI1B	GFI1B
ENSMMUG00000004961	GFM1	GFM1
ENSMMUG00000019998	GFM2	GFM2
ENSMMUG00000061899	GFOD1	GFOD1
ENSMMUG00000013797	GFPT1	GFPT1
ENSMMUG00000001731	GFPT2	GFPT2
ENSMMUG00000013272	GFRA3	GFRA3
ENSMMUG00000051331	GFRAL	GFRAL
ENSMMUG00000003853	GGA1	GGA1
ENSMMUG00000020521	GGA2	GGA2
ENSMMUG00000018021	GGA3	GGA3
ENSMMUG00000004494	GGACT	GGACT
ENSMMUG00000012550	GGCT	GGCT
ENSMMUG00000004446	GGCX	GGCX
ENSMMUG00000055148	GGH	GGH
ENSMMUG00000007145	GGPS1	GGPS1
ENSMMUG00000017931	GGT7	GGT7
ENSMMUG00000018572	GHITM	GHITM
ENSMMUG00000001336	GHR	GHR
ENSMMUG00000031295	GHRH	GHRH
ENSMMUG00000065159	GHRL	GHRL
ENSMMUG00000004194	GHSR	GHSR
ENSMMUG00000005900	GID4	GID4
ENSMMUG00000050053	GID8	GID8
ENSMMUG00000004082	GIGYF1	GIGYF1
ENSMMUG00000012211	GIGYF2	GIGYF2
ENSMMUG00000017008	GIMAP2	GIMAP2
ENSMMUG00000011386	GIMAP4	GIMAP4
ENSMMUG00000022636	GIMAP8	GIMAP8
ENSMMUG00000007786	GIN1	GIN1
ENSMMUG00000015161	GINM1	GINM1
ENSMMUG00000020594	GINS2	GINS2
ENSMMUG00000009109	GINS3	GINS3
ENSMMUG00000009123	GINS4	GINS4
ENSMMUG00000049405	GIP	GIP
ENSMMUG00000011402	GIPC3	GIPC3
ENSMMUG00000014408	GIT1	GIT1
ENSMMUG00000010484	GIT2	GIT2
ENSMMUG00000005225	GJA1	GJA1
ENSMMUG00000005800	GJA10	GJA10
ENSMMUG00000052705	GJA3	GJA3
ENSMMUG00000001803	GJA5	GJA5
ENSMMUG00000001382	GJA8	GJA8
ENSMMUG00000000669	GJB1	GJB1
ENSMMUG00000010522	GJB2	GJB2
ENSMMUG00000022677	GJB3	GJB3
ENSMMUG00000001860	GJB4	GJB4
ENSMMUG00000001859	GJB5	GJB5
ENSMMUG00000023295	GJB6	GJB6
ENSMMUG00000005458	GJC1	GJC1
ENSMMUG00000023086	GJC2	GJC2
ENSMMUG00000012489	GJD3	GJD3
ENSMMUG00000061153	GJD4	GJD4
ENSMMUG00000062120	GK2	GK2
ENSMMUG00000012151	GK5	GK5
ENSMMUG00000063374	GKAP1	GKAP1
ENSMMUG00000014242	GKN2	GKN2
ENSMMUG00000019577	GLA	GLA
ENSMMUG00000019624	GLB1L	GLB1L
ENSMMUG00000021364	GLCE	GLCE
ENSMMUG00000031755	GLDC	GLDC
ENSMMUG00000005989	GLE1	GLE1
ENSMMUG00000000226	GLG1	GLG1
ENSMMUG00000022058	GLI1	GLI1
ENSMMUG00000013614	GLI3	GLI3
ENSMMUG00000010213	GLIPR2	GLIPR2
ENSMMUG00000057568	GLIS3	GLIS3
ENSMMUG00000010095	GLMN	GLMN
ENSMMUG00000062055	GLO1	GLO1
ENSMMUG00000011417	GLOD4	GLOD4
ENSMMUG00000018090	GLP2R	GLP2R
ENSMMUG00000014704	GLRA1	GLRA1
ENSMMUG00000003482	GLRA2	GLRA2
ENSMMUG00000008868	GLRA3	GLRA3
ENSMMUG00000022901	GLRB	GLRB
ENSMMUG00000005312	GLRX	GLRX
ENSMMUG00000022645	GLRX2	GLRX2
ENSMMUG00000018429	GLRX3	GLRX3
ENSMMUG00000054267	GLRX5	GLRX5
ENSMMUG00000005612	GLS	GLS
ENSMMUG00000000860	GLS2	GLS2
ENSMMUG00000021493	GLT6D1	GLT6D1
ENSMMUG00000012526	GLT8D1	GLT8D1
ENSMMUG00000021292	GLT8D2	GLT8D2
ENSMMUG00000058267	GLTP	GLTP
ENSMMUG00000022075	GLUD1	GLUD1
ENSMMUG00000022884	GLUL	GLUL
ENSMMUG00000011718	GLYAT	GLYAT
ENSMMUG00000046051	GLYATL3	GLYATL3
ENSMMUG00000009567	GLYR1	GLYR1
ENSMMUG00000053724	GMCL1	GMCL1
ENSMMUG00000005779	GMDS	GMDS
ENSMMUG00000003036	GMIP	GMIP
ENSMMUG00000056230	GML	GML
ENSMMUG00000017495	GMNN	GMNN
ENSMMUG00000017938	GMPPA	GMPPA
ENSMMUG00000014584	GMPPB	GMPPB
ENSMMUG00000012455	GMPR2	GMPR2
ENSMMUG00000007324	GMPS	GMPS
ENSMMUG00000002961	GNA11	GNA11
ENSMMUG00000019761	GNA14	GNA14
ENSMMUG00000056280	GNAI2	GNAI2
ENSMMUG00000005818	GNAI3	GNAI3
ENSMMUG00000019900	GNAO1	GNAO1
ENSMMUG00000055875	GNAQ	GNAQ
ENSMMUG00000010266	GNAS	GNAS
ENSMMUG00000020116	GNAT1	GNAT1
ENSMMUG00000005819	GNAT2	GNAT2
ENSMMUG00000064838	GNAT3	GNAT3
ENSMMUG00000001776	GNAZ	GNAZ
ENSMMUG00000001896	GNB1	GNB1
ENSMMUG00000005190	GNB3	GNB3
ENSMMUG00000004083	GNB4	GNB4
ENSMMUG00000006135	GNE	GNE
ENSMMUG00000041616	GNG11	GNG11
ENSMMUG00000014807	GNG12	GNG12
ENSMMUG00000000846	GNG13	GNG13
ENSMMUG00000010392	GNG2	GNG2
ENSMMUG00000022182	GNG5	GNG5
ENSMMUG00000065054	GNG7	GNG7
ENSMMUG00000020579	GNGT1	GNGT1
ENSMMUG00000020077	GNL1	GNL1
ENSMMUG00000008419	GNL2	GNL2
ENSMMUG00000012511	GNL3	GNL3
ENSMMUG00000008231	GNL3L	GNL3L
ENSMMUG00000001393	GNMT	GNMT
ENSMMUG00000005801	GNPAT	GNPAT
ENSMMUG00000009770	GNPDA1	GNPDA1
ENSMMUG00000009273	GNPDA2	GNPDA2
ENSMMUG00000011571	GNPNAT1	GNPNAT1
ENSMMUG00000012562	GNPTAB	GNPTAB
ENSMMUG00000029018	GNRH1	GNRH1
ENSMMUG00000005890	GNRH2	GNRH2
ENSMMUG00000003779	GNRHR	GNRHR
ENSMMUG00000006481	GNS	GNS
ENSMMUG00000022967	GOLGA2	GOLGA2
ENSMMUG00000031451	GOLGA3	GOLGA3
ENSMMUG00000021918	GOLGA4	GOLGA4
ENSMMUG00000015169	GOLGA5	GOLGA5
ENSMMUG00000016120	GOLGA7	GOLGA7
ENSMMUG00000056243	GOLGA7B	GOLGA7B
ENSMMUG00000013546	GOLGB1	GOLGB1
ENSMMUG00000020734	GOLIM4	GOLIM4
ENSMMUG00000010668	GOLPH3L	GOLPH3L
ENSMMUG00000064841	GOLT1A	GOLT1A
ENSMMUG00000014674	GORAB	GORAB
ENSMMUG00000020144	GORASP1	GORASP1
ENSMMUG00000015203	GORASP2	GORASP2
ENSMMUG00000023698	GOSR1	GOSR1
ENSMMUG00000018689	GOSR2	GOSR2
ENSMMUG00000006000	GOT2	GOT2
ENSMMUG00000016411	GP2	GP2
ENSMMUG00000050950	GP5	GP5
ENSMMUG00000019799	GP9	GP9
ENSMMUG00000065239	GPA33	GPA33
ENSMMUG00000007161	GPAA1	GPAA1
ENSMMUG00000007526	GPAM	GPAM
ENSMMUG00000012863	GPAT2	GPAT2
ENSMMUG00000011790	GPATCH1	GPATCH1
ENSMMUG00000018723	GPATCH3	GPATCH3
ENSMMUG00000002624	GPATCH4	GPATCH4
ENSMMUG00000012658	GPATCH8	GPATCH8
ENSMMUG00000065075	GPBAR1	GPBAR1
